,train,test
0,0.7118,0.826
1,0.8478,0.88
2,0.8878,0.886
3,0.9148,0.941
4,0.9293,0.933
5,0.9398,0.949
6,0.9428,0.934
7,0.9558,0.938
8,0.9615,0.907
9,0.9583,0.949
10,0.9685,0.926
11,0.9655,0.955
12,0.965,0.949
13,0.9705,0.954
14,0.9745,0.944
15,0.9783,0.936
16,0.9753,0.956
17,0.983,0.957
18,0.981,0.942
19,0.9795,0.939
20,0.9825,0.952
21,0.9843,0.954
22,0.986,0.961
23,0.9865,0.951
24,0.9888,0.948
25,0.99,0.93
26,0.9883,0.953
27,0.9855,0.954
28,0.991,0.963
29,0.986,0.967
