,train,test
0,0.9098,0.958
1,0.9573,0.963
2,0.9745,0.942
3,0.9835,0.961
4,0.987,0.973
5,0.991,0.971
6,0.9878,0.967
7,0.9945,0.969
8,0.9953,0.97
9,0.9953,0.973
10,0.994,0.968
11,0.9965,0.977
12,0.9948,0.974
13,0.9953,0.972
14,0.998,0.975
15,0.995,0.968
16,0.9968,0.981
17,0.9973,0.976
18,0.9975,0.965
19,0.998,0.982
20,0.996,0.977
21,0.9975,0.976
22,0.997,0.974
23,0.9973,0.969
24,0.9983,0.978
25,0.9993,0.975
26,0.9953,0.972
27,0.9963,0.973
28,0.9988,0.973
29,0.9983,0.977
