,train,test
0,0.691,0.7947
1,0.8222,0.8853
2,0.8768,0.8467
3,0.9031,0.896
4,0.9325,0.924
5,0.9291,0.9373
6,0.9394,0.948
7,0.9488,0.932
8,0.9545,0.944
9,0.9603,0.9467
10,0.9643,0.944
11,0.9643,0.9533
12,0.9677,0.9453
13,0.9703,0.9333
14,0.9617,0.952
15,0.9774,0.9413
16,0.9797,0.944
17,0.9777,0.956
18,0.9791,0.948
19,0.9794,0.9387
20,0.9788,0.94
21,0.982,0.944
22,0.9871,0.9507
23,0.9797,0.944
24,0.9868,0.9413
25,0.9857,0.952
26,0.9851,0.9427
27,0.9891,0.9453
28,0.9883,0.948
29,0.9868,0.96
