,train,test
0,0.6933,0.7893
1,0.7882,0.8213
2,0.823,0.8307
3,0.8674,0.8973
4,0.8885,0.9027
5,0.9165,0.8933
6,0.9205,0.904
7,0.926,0.932
8,0.9345,0.9413
9,0.9437,0.9053
10,0.9477,0.9213
11,0.9523,0.9427
12,0.9508,0.9427
13,0.9623,0.936
14,0.96,0.94
15,0.9643,0.904
16,0.9726,0.916
17,0.9643,0.9387
18,0.9711,0.9413
19,0.9751,0.9493
20,0.9748,0.9253
21,0.978,0.96
22,0.98,0.9627
23,0.9823,0.952
24,0.9823,0.9507
25,0.9726,0.9573
26,0.9783,0.9587
27,0.9828,0.9467
28,0.9777,0.9573
29,0.9843,0.9627
