,train,test
0,0.9125,0.968
1,0.9603,0.9693
2,0.9728,0.9707
3,0.9783,0.9813
4,0.9774,0.9573
5,0.9868,0.976
6,0.9874,0.9733
7,0.9937,0.9733
8,0.9957,0.9773
9,0.9943,0.976
10,0.9946,0.968
11,0.9914,0.976
12,0.9943,0.968
13,0.9966,0.9787
14,0.9934,0.9733
15,0.9954,0.98
16,0.9989,0.9787
17,0.9943,0.9813
18,0.994,0.9773
19,0.996,0.98
20,0.9983,0.976
21,0.9974,0.976
22,0.9946,0.9813
23,0.9974,0.976
24,0.9986,0.976
25,0.9997,0.9747
26,0.998,0.9827
27,0.9991,0.984
28,0.9986,0.9747
29,0.9989,0.976
