,train,test
0,0.8962,0.9587
1,0.9488,0.964
2,0.9706,0.968
3,0.9734,0.964
4,0.9777,0.972
5,0.9771,0.9747
6,0.982,0.968
7,0.9774,0.9787
8,0.9877,0.9827
9,0.9866,0.98
10,0.986,0.9787
11,0.9891,0.9773
12,0.9911,0.9827
13,0.9937,0.9733
14,0.9926,0.9653
15,0.9926,0.9813
16,0.9877,0.98
17,0.9909,0.9707
18,0.9963,0.964
19,0.9917,0.9747
20,0.9937,0.9787
21,0.9934,0.9813
22,0.992,0.9773
23,0.9971,0.9653
24,0.9963,0.9747
25,0.9971,0.9747
26,0.9906,0.972
27,0.9971,0.9693
28,0.996,0.9827
29,0.9963,0.9773
