,train,test
0,0.9068,0.9427
1,0.9545,0.9613
2,0.9774,0.9693
3,0.9794,0.9733
4,0.9866,0.972
5,0.9886,0.98
6,0.9929,0.9747
7,0.9934,0.9747
8,0.9923,0.9707
9,0.9894,0.968
10,0.9946,0.9747
11,0.9951,0.9773
12,0.9969,0.976
13,0.9951,0.9747
14,0.9966,0.9787
15,0.9971,0.9813
16,0.9957,0.972
17,0.9946,0.9827
18,0.9994,0.98
19,0.9957,0.984
20,0.9957,0.9773
21,0.9951,0.9693
22,0.996,0.9827
23,0.9983,0.9787
24,0.9986,0.98
25,0.9991,0.9827
26,0.9997,0.984
27,1.0,0.9867
28,1.0,0.984
29,0.996,0.9773
