,train,test
0,0.6266,0.6987
1,0.7467,0.78
2,0.8148,0.908
3,0.8854,0.928
4,0.916,0.912
5,0.9257,0.9413
6,0.9265,0.9107
7,0.9351,0.9387
8,0.942,0.9213
9,0.9374,0.9453
10,0.9505,0.9493
11,0.9514,0.9507
12,0.9571,0.9493
13,0.9588,0.952
14,0.964,0.9547
15,0.9634,0.964
16,0.972,0.9427
17,0.9666,0.9507
18,0.9734,0.9573
19,0.9708,0.9533
20,0.9697,0.9627
21,0.978,0.9547
22,0.9754,0.9547
23,0.9703,0.9587
24,0.9768,0.9653
25,0.9817,0.9587
26,0.9771,0.96
27,0.9851,0.9587
28,0.9857,0.96
29,0.9883,0.964
